"Title","Service","Change Type","Announcement Date","Target Date","Action Required","Tags","Overview","Description","Url"
"Retirement of Iteration 2 (beta) Privileged Identity Management (PIM) API","MS Graph","Deprecation","12/1/2025","10/28/2026","Yes","IDENTITY MODERNIZATION","Migrate to the Iteration 3 (GA) PIM APIs before October 28, 2026.","What is changing?

Iteration 2 (beta) PIM API for Azure resources and Microsoft Entra roles is deprecated and will stop returning data on October 28, 2026.

Action required

1. Migrate to the Iteration 3 (GA) APIs.

2. Begin migration planning and testing as soon as possible.

3, Halt any new development using Iteration 2 APIs.

4. Review documentation for Iteration 3 APIs to ensure compatibility.","https://learn.microsoft.com/graph/api/resources/privilegedidentitymanagement-root?view=graph-rest-beta&WT.mc_id=Portal-Microsoft_AAD_IAM#migrate-from-pim-iteration-2-apis-to-pim-iteration-3-apis"
"Update to Revoke Multifactor Authentication Sessions","Authentications (Logins)","Feature Change","12/1/2025","2/1/2026","Yes","IDENTITY SECURITY",,"What is changing?

Starting February 2026, we are replacing the current Revoke multifactor authentication sessions button with the Revoke sessions button in the Microsoft Entra portal. The legacy Revoke MFA sessions action only applies to per-user MFA enforcement, which has led to confusion. To simplify and ensure consistent behavior, the new Revoke sessions button will invalidate all user sessions, including MFA, regardless of whether MFA is enforced via Conditional Access or per-user policies.

Action required

Admins should update workflows and guidance to use Revoke sessions instead of Revoke MFA sessions. The Revoke MFA sessions option will be removed from the portal after this change.",
"Block External Script Injection in Microsoft Entra ID Signin","Authentications (Logins)","Breaking Change","12/1/2025","11/1/2025","Yes","IDENTITY SECURITY",,"What is changing?

In November 2025, Microsoft Entra ID rolled out a stricter Content Security Policy (CSP) for browser-based sign-ins on login.microsoftonline.com. This update blocks unauthorized scripts and only allows scripts from trusted Microsoft domains, enhancing protection against cross-site scripting (XSS) attacks.

Action required

Admins should ensure that no browser extensions or tools inject scripts into the sign-in experience. Any existing tools that do so must be replaced, and sign-in flows should be tested to identify and fix violations.",
"Jailbreak Detection in Authenticator App","Authentications (Logins)","Breaking Change","12/1/2025","2/1/2026","Yes","IDENTITY SECURITY",,"What is changing?

Starting February 2026, we will introduce Jailbreak/Root detection for Microsoft Entra credentials in the Authenticator app. This update boosts security by disabling Microsoft Entra credentials on jail-broken or rooted devices, wiping any existing credentials automatically. It applies to both iOS and Android, requires no admin setup, and does not affect personal or third-party accounts.

Action required

Notify end users about this upcoming change. Authenticator will become unusable for Microsoft Entra accounts on jail-broken or rooted devices.","https://support.microsoft.com/account-billing/about-microsoft-authenticator-9783c865-0308-42fb-a519-8cf666fe0acc"
